nodes-qty;with-fc;0-fst;0-all;1-fst;1-all;2-fst;2-all;3-fst;3-all
8;False;10;88;15;104;10;116;15;80
14;False;18;80;22;292;122;160;22;164
18;False;26;296;273;5124;354;408;33;364
22;False;35;964;40;19056;98;428;44;468
8;True;6;27;6;29;6;29;6;27
14;True;10;34;10;192;32;40;10;38
18;True;14;44;75;379;30;54;14;44
22;True;18;54;18;9542;27;72;18;54
