combination;0-fst;0-all;1-fst;1-all;2-fst;2-all;3-fst;3-all
BT;36;63;1;186;4;552;2;14
BT+FC;7;15;0;199;1;510;3;14
BT+AC3;3;5;0;7;1;29;3;5
BT+FC+AC3;3;4;0;17;1;26;1;2
